Soil Type,GLCM Contrast,Wavelet Energy,Entropy,Histogram RGB Mean,Crop
Alluvial Soil,917.6900134,17121006928,7.169354024,2365.3125,Grapes
Alluvial Soil,796.2907401,17117264700,7.063809431,2365.3125,Grapes
Alluvial Soil,653.5161167,14473032385,6.742216516,2365.3125,Grapes
Alluvial Soil,925.9835921,17072735313,7.170734307,2365.3125,Grapes
Alluvial Soil,795.8090335,17057942655,7.061404257,2365.3125,Grapes
Alluvial Soil,926.6239721,17080464885,7.172664338,2365.3125,Grapes
Alluvial Soil,762.5932341,16983994496,7.119824711,2365.3125,Grapes
Alluvial Soil,790.6086111,17010285535,7.057362276,2365.3125,Grapes
Alluvial Soil,799.7628238,17055933080,7.062395611,2365.3125,Grapes
Alluvial Soil,791.0211562,17131903140,7.060238624,2365.3125,Grapes
Alluvial Soil,766.1262501,17008147400,7.119124846,2365.3125,Grapes
Alluvial Soil,764.7877547,16998320237,7.122341793,2365.3125,Grapes
Alluvial Soil,764.7669117,16990313806,7.120563336,2365.3125,Grapes
Alluvial Soil,797.65478,16998019329,7.060732287,2365.3125,Grapes
Alluvial Soil,760.3461385,17006727095,7.120336213,2365.3125,Grapes
Alluvial Soil,386.4582957,3920511567,6.946586285,1062.90625,Pulses
Alluvial Soil,386.4582957,3920511567,6.946586285,1062.90625,Pulses
Alluvial Soil,265.9126695,19616411431,7.505829738,6451.171875,Rice
Alluvial Soil,265.9126695,19616411431,7.505829738,6451.171875,Rice
Alluvial Soil,333.254788,3109131471,7.095754323,685.7851563,Rice
Alluvial Soil,833.3127249,17022925118,7.144737891,2365.3125,Rice
Alluvial Soil,1022.310969,17079891046,7.201517956,2365.3125,Rice
Alluvial Soil,867.6291669,16983163380,7.084186615,2365.3125,Rice
Alluvial Soil,822.6301893,17015246989,7.14148736,2365.3125,Rice
Alluvial Soil,864.2424451,17005745455,7.082453561,2365.3125,Rice
Alluvial Soil,827.0576316,16998760115,7.141659572,2365.3125,Rice
Alluvial Soil,827.2091753,17006077958,7.142823075,2365.3125,Rice
Alluvial Soil,855.8427693,17021601508,7.078978727,2365.3125,Rice
Alluvial Soil,828.4273397,17016649225,7.139576265,2365.3125,Rice
Alluvial Soil,825.5519706,16992400518,7.14089297,2365.3125,Rice
Alluvial Soil,856.220766,17137825839,7.081214406,2365.3125,Rice
Alluvial Soil,856.8417743,17019941419,7.079074096,2365.3125,Rice
Alluvial Soil,866.4295551,17064262795,7.084003498,2365.3125,Rice
Alluvial Soil,862.546479,17065045880,7.082790382,2365.3125,Rice
Alluvial Soil,1018.998925,17072557489,7.198866461,2365.3125,Rice
Alluvial Soil,727.7921168,14484984602,6.779380862,2365.3125,Pulses
Alluvial Soil,861.2363698,17125727326,7.084446862,2365.3125,Rice
Alluvial Soil,787.0206239,13958908964,6.762290047,2365.3125,Grapes
Alluvial Soil,1011.148382,17120376615,7.19778867,2365.3125,Rice
Alluvial Soil,1017.303849,17100547650,7.200233843,2365.3125,Pulses
Alluvial Soil,683.1616774,14557416775,6.77804112,2365.3125,Rice
Alluvial Soil,1017.439259,17114491052,7.198654077,2365.3125,Grapes
Alluvial Soil,1096.469078,10408800112,7.04646807,2365.3125,Rice
Alluvial Soil,1104.752445,10404670092,7.050418601,2365.3125,Pulses
Alluvial Soil,683.9494822,14608348648,6.792885254,2365.3125,Rice
Alluvial Soil,1111.887884,10342870522,7.053220329,2365.3125,Grapes
Alluvial Soil,1105.783669,10367932105,7.05134558,2365.3125,Rice
Alluvial Soil,1136.126375,10304794177,7.061130853,2365.3125,Pulses
Alluvial Soil,1110.869507,10358517529,7.053260564,2365.3125,Rice
Alluvial Soil,1115.228017,10342529002,7.053851882,2365.3125,Grapes
